Timestamp,Age,Primary streaming service,Hours per day,While working,Instrumentalist,Composer,Fav genre,Exploratory,Foreign languages,BPM,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Anxiety,Depression,Insomnia,OCD,Music effects,Permissions
8/28/2022 12:53:01,23,Spotify,12,1.0,0.0,0.0,Pop,1.0,1.0,96,3.0,1.0,0.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,3.0,2.0,1.0,1.0,0.0,3,7,5,5,1.0,I understand.
8/28/2022 12:54:35,22,Spotify,4,1.0,0.0,1.0,Rock,1.0,1.0,126,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0,8,7,4,3,2.0,I understand.
8/28/2022 13:01:42,16,Apple Music,2,1.0,1.0,0.0,Classical,1.0,0.0,,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0,0,1,3,2.0,I understand.
8/28/2022 13:05:46,18,Spotify,6,1.0,0.0,0.0,Rock,1.0,0.0,91,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,3.0,0.0,8,6,2,10,1.0,I understand.
8/28/2022 13:08:24,42,I do 0.0t use a streaming service.,0,,0.0,0.0,Rock,0.0,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,9,0,10,0,1.0,I understand.
8/28/2022 13:09:53,23,Spotify,7,1.0,0.0,0.0,Folk,1.0,1.0,55,1.0,3.0,0.0,3.0,3.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,6,4,2,3,2.0,I understand.
8/28/2022 13:18:19,23,I do 0.0t use a streaming service.,1,1.0,1.0,0.0,Video game music,0.0,0.0,85,2.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,3.0,0.0,2.0,3.0,1.0,2.0,3.0,7,0,0,2,2.0,I understand.
8/28/2022 13:22:36,19,YouTube Music,1,0.0,1.0,0.0,K pop,1.0,1.0,160,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10,1,0,0,2.0,I understand.
8/28/2022 13:22:53,22,Pandora,1,0.0,1.0,0.0,Rock,1.0,0.0,108,1.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,8,7,0,5,2.0,I understand.
8/28/2022 13:34:00,15,Other streaming service,2,1.0,1.0,0.0,Rock,0.0,0.0,156,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,3.0,2.0,3,2,6,7,2.0,I understand.
8/28/2022 13:34:27,25,Spotify,2,0.0,0.0,0.0,Metal,0.0,1.0,170,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0,1.0,3.0,3.0,5,5,3,1,1.0,I understand.
8/28/2022 13:42:20,32,Spotify,5,1.0,0.0,0.0,Rock,0.0,1.0,91,2.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,3.0,3.0,3.0,1.0,3.0,0.0,10,10,3,1,0.0,I understand.
8/28/2022 13:43:06,36,Spotify,6,1.0,0.0,0.0,Metal,1.0,1.0,174,3.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,3.0,5,4,10,2,2.0,I understand.
8/28/2022 13:46:03,24,Spotify,3,0.0,0.0,0.0,Rock,1.0,1.0,130,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,0,0,8,0,1.0,I understand.
8/28/2022 13:48:11,29,Spotify,4,0.0,0.0,0.0,Hip hop,1.0,0.0,140,1.0,2.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,8,8,5,10,2.0,I understand.
8/28/2022 13:55:45,41,Apple Music,3,1.0,1.0,1.0,Metal,1.0,1.0,130,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,10,7,8,0,2.0,I understand.
8/28/2022 13:57:47,36,I do 0.0t use a streaming service.,2,1.0,1.0,1.0,Rock,1.0,0.0,127,2.0,1.0,3.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,3.0,2.0,7,3,1,1,2.0,I understand.
8/28/2022 13:59:16,19,YouTube Music,3,1.0,0.0,0.0,Rock,1.0,0.0,160,1.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,8,7,4,0,2.0,I understand.
8/28/2022 14:00:18,31,Spotify,2,1.0,0.0,0.0,Rock,1.0,1.0,,0.0,2.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0,0.0,10,2,0,5,1.0,I understand.
8/28/2022 14:01:08,16,Spotify,4,1.0,0.0,0.0,Rock,0.0,1.0,,2.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,3.0,3.0,9,8,1,2,2.0,I understand.
8/28/2022 14:02:12,26,Spotify,2,1.0,1.0,1.0,Hip hop,1.0,1.0,165,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,6,3,1,1,2.0,I understand.
8/28/2022 14:04:09,22,Apple Music,0.5,0.0,0.0,0.0,Hip hop,0.0,0.0,113,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,7,7,0,1,1.0,I understand.
8/28/2022 14:04:20,16,Spotify,5,1.0,1.0,1.0,Jazz,1.0,1.0,167,2.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,3.0,1.0,3.0,2.0,0.0,7,7,8,4,2.0,I understand.
8/28/2022 14:07:29,17,Spotify,5,1.0,0.0,0.0,Metal,1.0,1.0,95,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,2.0,4,1,0,0,2.0,I understand.
8/28/2022 14:08:57,19,Spotify,10,1.0,0.0,0.0,R&B,1.0,1.0,110,0.0,1.0,3.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,7,2,1,5,2.0,I understand.
8/28/2022 14:10:04,18,YouTube Music,2,0.0,0.0,0.0,EDM,0.0,1.0,150,2.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0,2.0,1.0,3.0,9,0,5,10,2.0,I understand.
8/28/2022 14:10:17,18,YouTube Music,4,1.0,0.0,0.0,Hip hop,1.0,1.0,93,0.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,1.0,2.0,0.0,3.0,3.0,3.0,2.0,1.0,2,7,1,1,2.0,I understand.
8/28/2022 14:12:55,19,Spotify,5,0.0,1.0,1.0,Rock,1.0,1.0,90,1.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,3.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,10,8,7,0,2.0,I understand.
8/28/2022 14:14:48,19,Spotify,3,1.0,0.0,0.0,Jazz,1.0,0.0,118,1.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,2.0,3.0,0.0,2.0,2.0,2.0,1.0,3.0,3,0,0,0,2.0,I understand.
8/28/2022 14:18:22,22,Spotify,2,1.0,0.0,0.0,K pop,1.0,1.0,126,0.0,0.0,3.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,1.0,7,8,5,1,1.0,I understand.
8/28/2022 14:24:10,16,Spotify,2.5,1.0,1.0,1.0,Rock,1.0,1.0,103,1.0,2.0,0.0,3.0,0.0,1.0,2.0,0.0,2.0,2.0,1.0,3.0,1.0,0.0,3.0,1.0,2,1,0,0,2.0,I understand.
8/28/2022 14:25:08,19,Spotify,3,1.0,0.0,0.0,R&B,1.0,1.0,77,1.0,0.0,2.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,5,4,0,1,2.0,I understand.
8/28/2022 14:26:12,37,Spotify,1,1.0,0.0,0.0,Rock,0.0,0.0,115,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,0.0,9,10,6,10,1.0,I understand.
8/28/2022 14:29:29,14,Spotify,7,1.0,1.0,0.0,Jazz,0.0,0.0,110,1.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,2,0,0,0,2.0,I understand.
8/28/2022 14:30:34,33,I do 0.0t use a streaming service.,1,0.0,0.0,0.0,Metal,0.0,1.0,,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,2.0,2.0,2.0,5,2,5,1,2.0,I understand.
8/28/2022 14:38:19,26,Spotify,1,0.0,0.0,0.0,R&B,0.0,0.0,113,1.0,2.0,0.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,0.0,3,2,0,0,1.0,I understand.
8/28/2022 14:41:04,32,Spotify,3,1.0,0.0,0.0,Hip hop,0.0,0.0,157,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,2.0,3.0,3.0,1.0,0.0,2,0,7,0,1.0,I understand.
8/28/2022 14:45:44,30,Spotify,5,1.0,1.0,0.0,Metal,1.0,0.0,160,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,0.0,7,6,6,2,1.0,I understand.
8/28/2022 14:47:08,43,I do 0.0t use a streaming service.,6,1.0,1.0,1.0,Video game music,1.0,1.0,109,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,0.0,2.0,3.0,5,4,8,3,1.0,I understand.
